coaster_name,Location,Status,Manufacturer,year_introduced,Type_Main,latitude,longitude,speed_mph,height_ft,Inversions_clean,Gforce_clean
Coaster_44,Hersheypark,Removed,Arrow Dynamics,2006,Steel,40.2819,-76.6404,55.2,117.6,0,3.8
Coaster_45,Dollywood,Operating,Bolliger & Mabillard,1995,Steel,35.7957,-83.5222,58.4,94.6,1,4.6
Coaster_46,Dollywood,Operating,Arrow Dynamics,2000,Wood,35.7655,-83.492,31.8,82.8,0,3.8
Coaster_47,Hersheypark,Removed,S&S - Sansei Technologies,1975,Steel,40.292,-76.6838,42.3,73.9,2,3.9
Coaster_48,Six Flags Over Texas,Operating,Philadelphia Toboggan Coasters,1994,Steel,32.7673,-97.0464,46.4,102.2,4,2.5
Coaster_49,Knott's Berry Farm,Operating,S&S - Sansei Technologies,1993,Steel,33.8472,-118.0023,57.5,110.1,1,3.0
Coaster_50,Knott's Berry Farm,Operating,Philadelphia Toboggan Coasters,2002,Steel,33.8532,-117.9771,54.2,154.0,0,5.2
Coaster_51,Busch Gardens Williamsburg,Operating,Intamin,1988,Steel,37.2365,-76.5853,64.8,76.8,2,3.7
Coaster_52,Knott's Berry Farm,Operating,Premier Rides,2015,Wood,33.8606,-117.9552,58.0,102.1,0,4.9
Coaster_53,Carowinds,Operating,Mack Rides,1987,Wood,35.1154,-80.9331,38.9,86.5,0,2.1
Coaster_54,Six Flags Great Adventure,Operating,Mack Rides,2007,Wood,40.1374,-74.4127,52.8,79.8,0,3.2
Coaster_55,Kings Island,Operating,Rocky Mountain Construction,2000,Steel,39.3359,-84.3074,58.8,99.8,2,3.7
Coaster_56,Busch Gardens Williamsburg,Removed,Intamin,2002,Steel,37.2134,-76.6286,46.2,87.9,2,3.8
Coaster_57,Six Flags Over Texas,Operating,Premier Rides,1999,Steel,32.7317,-97.0521,60.1,115.4,3,4.1
Coaster_58,Knott's Berry Farm,Removed,Great Coasters International,2009,Steel,33.8371,-118.0,60.5,120.0,1,2.6
Coaster_59,Busch Gardens Williamsburg,Operating,S&S - Sansei Technologies,2004,Steel,37.2468,-76.6434,63.6,96.3,1,
Coaster_60,Silver Dollar City,Operating,S&S - Sansei Technologies,2008,Steel,36.6638,-93.3543,66.9,104.6,3,2.4
Coaster_61,Busch Gardens Williamsburg,Operating,S&S - Sansei Technologies,2023,Steel,37.2331,-76.6447,70.3,136.1,1,4.8
Coaster_62,Six Flags Over Texas,Operating,Premier Rides,2015,Steel,32.7309,-97.0461,66.7,120.2,1,3.3
Coaster_63,Cedar Point,Removed,Arrow Dynamics,2010,Steel,41.4622,-82.6978,66.6,132.7,2,3.1
Coaster_64,Six Flags Magic Mountain,Operating,Philadelphia Toboggan Coasters,2023,Steel,34.411,-118.5955,74.7,112.4,0,2.6
Coaster_65,Dollywood,Operating,Arrow Dynamics,1995,Steel,35.7915,-83.5175,53.1,96.7,1,4.8
Coaster_66,Kennywood,Operating,Premier Rides,1990,Steel,40.4049,-79.9055,53.2,75.2,2,5.6
Coaster_67,Six Flags Magic Mountain,Operating,Philadelphia Toboggan Coasters,2004,Steel,34.435,-118.6221,60.2,111.6,1,3.6
Coaster_68,Silver Dollar City,Closed,Bolliger & Mabillard,2009,Steel,36.6704,-93.3203,52.8,110.2,2,4.6
Coaster_69,Carowinds,Operating,Premier Rides,1975,Steel,35.0915,-80.9232,36.0,73.3,1,2.6
Coaster_70,Busch Gardens Williamsburg,Operating,Premier Rides,1985,Steel,37.2027,-76.6367,46.0,94.0,3,4.1
Coaster_71,Dollywood,Operating,Philadelphia Toboggan Coasters,2020,Wood,35.8233,-83.5356,51.1,98.1,0,4.3
Coaster_72,Six Flags Great Adventure,Removed,Bolliger & Mabillard,2005,Wood,40.1404,-74.4246,50.5,104.2,0,3.8
Coaster_73,Dollywood,Closed,Premier Rides,2009,Steel,35.7776,-83.5439,65.5,,1,4.3
Coaster_74,Kennywood,Operating,Philadelphia Toboggan Coasters,2006,Steel,40.3571,-79.8395,53.0,87.8,3,3.6
Coaster_75,Cedar Point,Operating,Philadelphia Toboggan Coasters,1998,Wood,41.4585,-82.6708,52.8,73.9,0,3.3
Coaster_76,Cedar Point,Operating,Great Coasters International,1994,Wood,41.5114,-82.6747,46.9,67.7,0,4.2
Coaster_77,Busch Gardens Williamsburg,Operating,Rocky Mountain Construction,2001,Steel,37.2643,-76.6744,51.9,91.4,2,3.6
Coaster_78,Knott's Berry Farm,Removed,Arrow Dynamics,2001,Steel,33.8496,-117.9809,64.1,109.3,1,2.8
Coaster_79,Silver Dollar City,Operating,Arrow Dynamics,2005,Steel,36.6633,-93.3466,56.5,117.7,2,3.5
Coaster_80,Six Flags Great Adventure,Operating,Premier Rides,1979,Steel,40.1487,-74.4487,40.2,76.0,0,3.7
Coaster_81,Six Flags Magic Mountain,Operating,Bolliger & Mabillard,1994,Steel,34.4268,-118.5848,58.2,108.1,0,3.4
Coaster_82,Six Flags Over Texas,Operating,Rocky Mountain Construction,2013,Steel,32.7173,-97.0529,63.9,102.3,1,2.1
Coaster_83,Knott's Berry Farm,Operating,Intamin,1981,Steel,33.8786,-117.9893,56.0,89.9,1,3.0
Coaster_84,Silver Dollar City,Removed,Philadelphia Toboggan Coasters,1975,Steel,36.6711,-93.3037,46.2,72.5,4,2.7
Coaster_85,Kings Island,Closed,Vekoma,2022,Steel,39.295,-84.2626,67.1,98.1,4,4.6
Coaster_86,Silver Dollar City,Operating,Mack Rides,2023,Steel,36.662,-93.3438,67.5,124.8,0,3.3
Coaster_87,Carowinds,Operating,Mack Rides,2007,Steel,35.0908,-80.9542,66.8,111.5,4,3.9
Coaster_88,Carowinds,Removed,S&S - Sansei Technologies,1993,Wood,35.0905,-80.9764,45.1,104.4,0,3.2
Coaster_89,Knott's Berry Farm,Operating,Great Coasters International,2007,Steel,33.8599,-117.9769,65.0,94.8,5,2.3
Coaster_90,Hersheypark,Operating,Great Coasters International,2004,Steel,40.2966,-76.6426,53.9,79.1,2,5.3
Coaster_91,Six Flags Great Adventure,Operating,S&S - Sansei Technologies,2006,Wood,40.1267,-74.4426,47.6,120.0,0,4.5
Coaster_92,Kennywood,Operating,Arrow Dynamics,1998,Wood,40.3877,-79.8675,56.2,87.0,0,3.2
Coaster_93,Carowinds,Operating,Premier Rides,2018,Steel,35.1218,-80.9309,65.9,96.1,2,3.4
Coaster_94,Kennywood,Operating,Bolliger & Mabillard,1992,Steel,40.4103,-79.8657,47.0,74.5,4,3.1
Coaster_95,Six Flags Great Adventure,Removed,Rocky Mountain Construction,2003,Steel,40.131,-74.4513,61.2,106.5,2,3.1
Coaster_96,Six Flags Magic Mountain,Operating,S&S - Sansei Technologies,1983,Steel,34.3931,-118.6008,45.1,59.8,1,4.1
Coaster_97,Dollywood,Operating,Mack Rides,2011,Steel,35.7786,-83.505,72.9,104.6,4,3.5
Coaster_98,Kings Island,Operating,Bolliger & Mabillard,2010,Steel,39.3302,-84.2659,72.6,118.4,1,2.9
Coaster_99,Cedar Point,Operating,Vekoma,2008,Steel,41.4594,-82.6946,60.5,113.7,2,2.3
Coaster_100,Kennywood,Operating,Vekoma,2021,Steel,40.4076,-79.8931,60.5,146.0,3,3.1
Coaster_101,Cedar Point,Operating,Bolliger & Mabillard,2023,Steel,41.4698,-82.6807,69.8,133.0,4,4.5
Coaster_102,Six Flags Over Texas,Operating,Arrow Dynamics,1978,Wood,32.7994,-97.0799,31.2,54.2,0,4.1
Coaster_103,Hersheypark,Operating,Bolliger & Mabillard,2006,Steel,40.3104,-76.6442,56.7,97.5,1,2.6
Coaster_104,Six Flags Great Adventure,Operating,S&S - Sansei Technologies,1985,Wood,40.1333,-74.4196,33.9,64.9,0,4.0
Coaster_105,Dollywood,Operating,Great Coasters International,2000,Steel,35.7905,-83.5353,64.2,104.7,0,5.1
Coaster_106,Kings Island,Operating,S&S - Sansei Technologies,2003,Steel,39.3631,-84.2867,67.8,89.6,1,2.0
Coaster_107,Knott's Berry Farm,Operating,Arrow Dynamics,1992,Steel,33.8489,-117.9788,52.7,89.4,2,
Coaster_108,Hersheypark,Removed,Rocky Mountain Construction,2023,Steel,40.3178,-76.6588,70.0,124.7,1,
Coaster_109,Knott's Berry Farm,Operating,S&S - Sansei Technologies,1998,Steel,33.7849,-117.989,54.8,119.9,4,3.2
Coaster_110,Dollywood,Operating,Rocky Mountain Construction,2012,Wood,35.7943,-83.5334,52.7,100.6,0,4.7
Coaster_111,Six Flags Great Adventure,Operating,Great Coasters International,1992,Steel,40.1402,-74.4233,49.0,116.7,1,2.3
Coaster_112,Dollywood,Operating,Vekoma,1991,Steel,35.8164,-83.5851,61.8,88.4,1,4.3
Coaster_113,Six Flags Over Texas,Operating,Bolliger & Mabillard,1979,Wood,32.7321,-97.0448,36.6,78.8,0,
Coaster_114,Kennywood,Operating,Arrow Dynamics,1989,Steel,40.3992,-79.8724,52.5,95.4,2,3.0
Coaster_115,Kennywood,Operating,Rocky Mountain Construction,1975,Steel,40.4099,-79.8347,32.7,88.1,1,3.1
Coaster_116,Cedar Point,Operating,Vekoma,2011,Steel,41.4506,-82.6919,55.6,126.4,2,2.0
Coaster_117,Kings Island,Removed,Arrow Dynamics,2002,Steel,39.3487,-84.3147,65.0,108.2,1,1.9
Coaster_118,Six Flags Magic Mountain,Operating,Rocky Mountain Construction,2010,Steel,34.4325,-118.5935,54.0,113.8,2,2.8
Coaster_119,Six Flags Over Texas,Removed,Great Coasters International,2004,Wood,32.7547,-97.061,57.3,82.6,0,3.4
Coaster_120,Carowinds,Operating,Arrow Dynamics,1975,Steel,35.1035,-80.9607,43.2,78.2,1,3.5
Coaster_121,Hersheypark,Closed,Great Coasters International,1980,Steel,40.2707,-76.6383,41.4,97.5,1,4.0
Coaster_122,Busch Gardens Williamsburg,Removed,Vekoma,2002,Steel,37.2083,-76.6162,60.6,86.9,0,3.5
Coaster_123,Six Flags Magic Mountain,Operating,Intamin,2017,Wood,34.3887,-118.5907,60.1,95.5,0,3.3
Coaster_124,Busch Gardens Williamsburg,Operating,Vekoma,1985,Steel,37.2883,-76.637,51.8,73.8,2,4.0
Coaster_125,Dollywood,Removed,Rocky Mountain Construction,1975,Steel,35.7725,-83.5379,43.3,88.4,1,2.2
Coaster_126,Hersheypark,Operating,S&S - Sansei Technologies,2004,Wood,40.3067,-76.6798,56.2,70.9,0,5.5
Coaster_127,Hersheypark,Removed,Great Coasters International,2000,Steel,40.2643,-76.6433,55.9,84.3,4,1.8
Coaster_128,Busch Gardens Williamsburg,Closed,Bolliger & Mabillard,2016,Wood,37.2078,-76.633,55.7,112.4,0,5.7
Coaster_129,Six Flags Over Texas,Operating,Bolliger & Mabillard,1991,Steel,32.7407,-97.0483,46.3,80.2,3,3.7
Coaster_130,Hersheypark,Removed,Mack Rides,1975,Steel,40.2816,-76.618,43.4,44.5,2,3.0
Coaster_131,Six Flags Great Adventure,Operating,Mack Rides,2023,Steel,40.15,-74.4261,65.2,130.8,2,4.5
Coaster_132,Hersheypark,Closed,S&S - Sansei Technologies,2007,Steel,40.2705,-76.6333,66.6,99.2,1,2.7
Coaster_133,Six Flags Great Adventure,Operating,Bolliger & Mabillard,2012,Steel,40.1364,-74.4638,71.1,100.5,2,4.2
Coaster_134,Knott's Berry Farm,Operating,Mack Rides,1988,Steel,33.8465,-117.9945,48.3,70.8,1,3.3
Coaster_135,Knott's Berry Farm,Operating,Intamin,1999,Steel,33.86,-117.9764,62.2,102.6,1,4.5
Coaster_136,Kennywood,Operating,Rocky Mountain Construction,1994,Steel,40.4034,-79.901,46.4,87.9,3,4.2
Coaster_137,Hersheypark,Operating,Rocky Mountain Construction,2021,Steel,40.2513,-76.6479,81.0,101.5,1,4.2
Coaster_138,Silver Dollar City,Removed,S&S - Sansei Technologies,1998,Wood,36.6703,-93.3304,49.1,85.9,0,5.5
Coaster_139,Silver Dollar City,Operating,Bolliger & Mabillard,1988,Steel,36.6307,-93.3801,57.2,81.5,2,4.6
Coaster_140,Knott's Berry Farm,Closed,Bolliger & Mabillard,1998,Steel,33.8426,-118.0437,46.4,106.7,1,4.3
Coaster_141,Six Flags Magic Mountain,Operating,Rocky Mountain Construction,2003,Steel,34.4433,-118.5868,47.9,133.4,3,4.5
Coaster_142,Six Flags Over Texas,Operating,Vekoma,2007,Steel,32.7562,-97.0823,55.4,113.5,0,3.9
Coaster_143,Busch Gardens Williamsburg,Operating,Premier Rides,2017,Wood,37.2256,-76.6289,56.6,126.5,0,3.9
Coaster_144,Six Flags Over Texas,Operating,Mack Rides,1986,Steel,32.7528,-97.0844,44.4,102.7,4,
Coaster_145,Silver Dollar City,Operating,S&S - Sansei Technologies,2023,Steel,36.6653,-93.331,71.8,127.2,1,4.4
Coaster_146,Six Flags Magic Mountain,Operating,Mack Rides,1979,Steel,34.4215,-118.61,50.6,109.0,1,5.4
Coaster_147,Carowinds,Operating,Premier Rides,1977,Steel,35.087,-80.9368,52.7,87.4,1,3.1
Coaster_148,Dollywood,Removed,Intamin,2021,Wood,35.7385,-83.5123,59.8,87.6,0,4.6
Coaster_149,Dollywood,Closed,Vekoma,2011,Steel,35.7954,-83.5268,59.8,140.6,2,3.0
Coaster_150,Silver Dollar City,Operating,Mack Rides,2001,Steel,36.6673,-93.3513,65.1,109.8,1,4.1
Coaster_151,Knott's Berry Farm,Operating,Vekoma,1984,Wood,33.8577,-117.9727,41.6,59.5,0,2.7
Coaster_152,Cedar Point,Operating,Mack Rides,1975,Steel,41.4855,-82.7266,44.9,73.7,1,3.9
Coaster_153,Hersheypark,Removed,Bolliger & Mabillard,2003,Steel,40.3007,-76.6275,68.5,119.5,2,4.4
Coaster_154,Busch Gardens Williamsburg,Operating,Intamin,1995,Wood,37.2163,-76.6479,46.9,48.0,0,2.7
Coaster_155,Six Flags Great Adventure,Operating,S&S - Sansei Technologies,1984,Steel,40.1474,-74.4465,47.2,89.0,3,3.6
Coaster_156,Hersheypark,Closed,Intamin,2017,Steel,40.2962,-76.6505,71.0,91.2,2,1.9
Coaster_157,Six Flags Great Adventure,Operating,Great Coasters International,2007,Wood,40.1468,-74.4347,55.3,89.1,0,3.5
Coaster_158,Cedar Point,Operating,Vekoma,2023,Wood,41.4857,-82.6936,60.5,110.1,0,4.3
Coaster_159,Cedar Point,Operating,Philadelphia Toboggan Coasters,1993,Steel,41.4939,-82.6289,50.2,110.3,0,4.6
Coaster_160,Busch Gardens Williamsburg,Operating,Premier Rides,1995,Steel,37.2114,-76.6234,57.6,89.7,4,4.1
Coaster_161,Kennywood,Removed,Great Coasters International,1991,Steel,40.4083,-79.8886,47.7,68.4,2,4.0
Coaster_162,Kings Island,Operating,Arrow Dynamics,2011,Steel,39.3233,-84.2429,72.3,113.2,2,2.6
Coaster_163,Dollywood,Removed,Intamin,1988,Steel,35.8063,-83.5461,52.2,92.0,2,2.9
Coaster_164,Silver Dollar City,Operating,Philadelphia Toboggan Coasters,1990,Steel,36.6926,-93.3185,59.1,108.4,0,2.9
Coaster_165,Silver Dollar City,Operating,Great Coasters International,2003,Steel,36.6565,-93.3442,69.2,103.6,3,3.1
Coaster_166,Kings Island,Operating,Premier Rides,1985,Wood,39.3517,-84.2808,42.4,79.2,0,1.0
Coaster_167,Carowinds,Operating,Philadelphia Toboggan Coasters,2011,Steel,35.0928,-80.9334,58.3,111.2,1,3.0
Coaster_168,Six Flags Over Texas,Operating,Intamin,1975,Steel,32.7222,-97.093,37.9,80.3,3,2.5
Coaster_169,Carowinds,Operating,Great Coasters International,2000,Wood,35.1244,-80.9806,51.8,91.4,0,4.8
Coaster_170,Kings Island,Operating,Premier Rides,2023,Steel,39.3309,-84.2696,66.3,128.8,0,
Coaster_171,Six Flags Magic Mountain,Operating,Vekoma,1990,Wood,34.4179,-118.6028,35.3,71.8,0,2.5
Coaster_172,Silver Dollar City,Operating,Mack Rides,2023,Steel,36.6449,-93.3373,64.8,134.5,0,4.7
Coaster_173,Kennywood,Operating,Bolliger & Mabillard,2010,Steel,40.3907,-79.8716,64.1,105.5,0,3.0
Coaster_174,Busch Gardens Williamsburg,Closed,Great Coasters International,2004,Steel,37.2369,-76.6629,72.7,96.4,0,3.7
Coaster_175,Six Flags Magic Mountain,Closed,S&S - Sansei Technologies,1985,Steel,34.4267,-118.5871,55.0,84.9,1,3.9
Coaster_176,Six Flags Over Texas,Removed,Bolliger & Mabillard,2019,Wood,32.75,-97.0943,64.3,116.9,0,4.1
Coaster_177,Silver Dollar City,Operating,Bolliger & Mabillard,1975,Steel,36.6804,-93.3465,38.8,80.1,2,4.5
Coaster_178,Six Flags Magic Mountain,Operating,Premier Rides,1988,Steel,34.4394,-118.6023,53.8,99.3,2,2.9
Coaster_179,Busch Gardens Williamsburg,Operating,Vekoma,1977,Steel,37.2154,-76.6734,46.9,,0,5.3
Coaster_180,Knott's Berry Farm,Operating,Mack Rides,2005,Wood,33.8518,-117.9634,54.9,80.1,0,4.0
Coaster_181,Six Flags Magic Mountain,Operating,Great Coasters International,1999,Steel,34.4282,-118.5863,55.5,110.6,3,2.7
Coaster_182,Silver Dollar City,Removed,Arrow Dynamics,1992,Steel,36.6785,-93.3716,47.3,101.6,1,3.2
Coaster_183,Knott's Berry Farm,Removed,Intamin,2009,Wood,33.8663,-117.9773,49.0,90.4,0,2.2
Coaster_184,Six Flags Over Texas,Operating,Vekoma,2023,Steel,32.793,-97.0833,66.9,134.8,2,1.8
Coaster_185,Kennywood,Operating,S&S - Sansei Technologies,1998,Steel,40.3971,-79.8754,43.4,106.9,1,4.3
Coaster_186,Knott's Berry Farm,Removed,Philadelphia Toboggan Coasters,2012,Steel,33.8855,-118.0198,71.3,101.1,1,3.9
Coaster_187,Kings Island,Operating,Mack Rides,1992,Steel,39.3605,-84.2522,48.5,87.2,0,3.2
Coaster_188,Knott's Berry Farm,Operating,Mack Rides,1994,Steel,33.8268,-117.9816,58.2,98.9,0,4.8
Coaster_189,Six Flags Great Adventure,Closed,Philadelphia Toboggan Coasters,2012,Steel,40.1674,-74.4469,60.0,117.4,3,2.1
Coaster_190,Cedar Point,Operating,Vekoma,1988,Steel,41.5023,-82.6688,54.0,110.1,2,2.1
Coaster_191,Busch Gardens Williamsburg,Removed,Vekoma,1993,Steel,37.2655,-76.6466,52.6,118.7,2,2.6
Coaster_192,Dollywood,Closed,Rocky Mountain Construction,2001,Steel,35.7785,-83.5074,55.5,87.8,2,6.2
Coaster_193,Kings Island,Operating,Rocky Mountain Construction,1977,Steel,39.3682,-84.269,55.2,57.2,3,4.1
Coaster_194,Cedar Point,Operating,Intamin,1989,Steel,41.4564,-82.6639,45.3,101.4,1,3.8
Coaster_195,Kennywood,Operating,Premier Rides,1996,Steel,40.3636,-79.8334,40.3,108.2,0,
Coaster_196,Six Flags Over Texas,Operating,Vekoma,2023,Steel,32.7494,-97.0626,64.7,151.3,1,2.1
Coaster_197,Six Flags Great Adventure,Operating,Premier Rides,1975,Steel,40.133,-74.4482,36.8,84.5,3,5.4
Coaster_198,Six Flags Over Texas,Operating,Great Coasters International,1989,Steel,32.7443,-97.1053,41.8,102.2,6,3.4
Coaster_199,Cedar Point,Operating,Bolliger & Mabillard,1975,Steel,41.5031,-82.6723,31.5,65.9,2,3.8
Coaster_200,Busch Gardens Williamsburg,Operating,Philadelphia Toboggan Coasters,1987,Steel,37.2207,-76.6276,49.7,71.1,0,4.4
Coaster_201,Knott's Berry Farm,Operating,Arrow Dynamics,1997,Wood,33.8335,-118.002,60.4,63.4,0,3.5
Coaster_202,Kennywood,Operating,Mack Rides,1997,Wood,40.4066,-79.9158,48.8,101.3,0,3.6
Coaster_203,Busch Gardens Williamsburg,Operating,Vekoma,1989,Steel,37.2108,-76.664,52.8,103.4,4,4.1
Coaster_204,Cedar Point,Operating,Premier Rides,1992,Wood,41.4708,-82.6664,49.3,80.3,0,2.5
Coaster_205,Six Flags Magic Mountain,Closed,Bolliger & Mabillard,2015,Wood,34.3946,-118.6074,57.2,89.1,0,3.1
Coaster_206,Knott's Berry Farm,Operating,Great Coasters International,1999,Steel,33.857,-117.9901,58.6,90.6,1,1.3
Coaster_207,Six Flags Great Adventure,Operating,Vekoma,2004,Wood,40.1778,-74.4254,56.6,89.1,0,1.1
Coaster_208,Knott's Berry Farm,Removed,Mack Rides,2005,Steel,33.808,-117.9865,67.2,114.2,1,3.2
Coaster_209,Knott's Berry Farm,Operating,Mack Rides,2009,Steel,33.8172,-117.9854,58.8,121.5,1,4.4
Coaster_210,Carowinds,Closed,Vekoma,2020,Steel,35.0979,-80.9491,72.3,111.3,4,2.4
Coaster_211,Cedar Point,Operating,Bolliger & Mabillard,2015,Steel,41.483,-82.6907,67.4,96.9,1,2.4
Coaster_212,Busch Gardens Williamsburg,Operating,Philadelphia Toboggan Coasters,2007,Steel,37.1992,-76.624,57.6,88.0,3,4.3
Coaster_213,Six Flags Great Adventure,Operating,Intamin,2002,Steel,40.1057,-74.4341,73.4,111.6,3,4.6
Coaster_214,Six Flags Great Adventure,Removed,Vekoma,1999,Steel,40.1272,-74.4498,33.1,98.7,4,2.2
Coaster_215,Kings Island,Operating,Rocky Mountain Construction,1989,Steel,39.345,-84.2538,48.8,79.1,2,5.4
Coaster_216,Kennywood,Closed,Mack Rides,2002,Wood,40.3747,-79.8516,55.0,95.3,0,3.9
Coaster_217,Dollywood,Removed,Bolliger & Mabillard,1975,Steel,35.7995,-83.5184,43.1,93.8,1,5.2
Coaster_218,Cedar Point,Operating,Intamin,2023,Wood,41.4983,-82.6743,58.7,121.7,0,3.9
Coaster_219,Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,1981,Steel,37.2521,-76.6354,51.5,92.8,0,4.0
Coaster_220,Carowinds,Operating,Mack Rides,2003,Wood,35.0948,-80.9562,54.4,111.8,0,3.1
Coaster_221,Six Flags Great Adventure,Operating,Premier Rides,2017,Steel,40.1657,-74.42,60.8,95.5,3,3.2
Coaster_222,Six Flags Magic Mountain,Operating,S&S - Sansei Technologies,2001,Steel,34.4637,-118.6138,50.0,98.0,2,4.6
Coaster_223,Kennywood,Operating,Rocky Mountain Construction,1975,Steel,40.4033,-79.8669,47.3,61.0,4,5.0
Coaster_224,Busch Gardens Williamsburg,Closed,Rocky Mountain Construction,1984,Steel,37.2372,-76.6594,46.0,96.2,4,3.8
Coaster_225,Kings Island,Operating,Premier Rides,2023,Wood,39.38,-84.2531,58.8,113.1,0,3.5
