InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536020,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-02-17 09:36:00,6.91,15416.0,United Kingdom
536021,85099B,JUMBO BAG RED RETROSPOT,3,2011-12-04 11:46:00,1.78,15085.0,France
536022,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-11-01 09:46:00,7.54,15322.0,Netherlands
536023,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2010-12-16 14:33:00,3.97,15525.0,United Kingdom
536024,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-11-10 13:50:00,2.68,,United Kingdom
536025,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2011-11-29 09:45:00,4.61,15784.0,United Kingdom
536026,22423,REGENCY CAKESTAND 3 TIER,6,2011-10-30 12:41:00,13.14,15110.0,United Kingdom
536027,22423,REGENCY CAKESTAND 3 TIER,3,2011-12-07 10:39:00,11.84,15068.0,United Kingdom
536028,47566,PARTY BUNTING,2,2011-10-11 12:36:00,4.36,15701.0,United Kingdom
536029,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-05-20 14:39:00,4.06,15214.0,United Kingdom
536030,21212,PACK OF 72 RETRO SPOT CAKE CASES,3,2011-01-02 10:16:00,0.56,15384.0,France
536031,22423,REGENCY CAKESTAND 3 TIER,2,2011-08-04 13:41:00,12.38,,United Kingdom
536032,71053,WHITE METAL LANTERN,3,2011-07-30 09:53:00,3.66,15579.0,United Kingdom
536033,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-04-13 17:52:00,4.11,15797.0,Germany
536034,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-10-30 16:34:00,8.41,15344.0,United Kingdom
536035,22752,SET 7 BABUSHKA NESTING BOXES,1,2010-12-06 11:36:00,8.33,15340.0,United Kingdom
536036,22423,REGENCY CAKESTAND 3 TIER,6,2011-01-07 16:41:00,12.17,15776.0,United Kingdom
536037,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-11-23 13:45:00,2.88,15252.0,France
536038,71053,WHITE METAL LANTERN,1,2011-06-18 09:19:00,3.1,,United Kingdom
536039,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-11-04 11:34:00,2.58,15476.0,United Kingdom
536040,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-04-16 10:33:00,2.9,15698.0,United Kingdom
536041,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-03-10 15:19:00,3.88,15458.0,United Kingdom
536042,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-04-12 12:09:00,4.38,15749.0,Netherlands
536043,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-11-12 10:11:00,2.68,15429.0,United Kingdom
536044,22423,REGENCY CAKESTAND 3 TIER,6,2011-05-17 08:18:00,12.05,15119.0,United Kingdom
536045,22423,REGENCY CAKESTAND 3 TIER,3,2011-08-09 09:13:00,13.66,15217.0,United Kingdom
536046,22752,SET 7 BABUSHKA NESTING BOXES,12,2011-04-16 16:19:00,7.58,15606.0,United Kingdom
536047,85099B,JUMBO BAG RED RETROSPOT,2,2011-06-17 12:27:00,2.05,15020.0,United Kingdom
536048,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-09-17 15:56:00,2.49,,United Kingdom
536049,47566,PARTY BUNTING,3,2011-10-14 13:17:00,5.06,,United Kingdom
536050,21754,HOME BUILDING BLOCK WORD,2,2011-10-23 12:42:00,5.87,15590.0,United Kingdom
536051,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-05-22 13:21:00,2.61,15149.0,United Kingdom
536052,21212,PACK OF 72 RETRO SPOT CAKE CASES,3,2011-10-25 08:27:00,0.59,15264.0,United Kingdom
536053,22629,SPACEBOY LUNCH BOX,3,2011-11-30 10:54:00,1.93,15624.0,United Kingdom
536054,47566,PARTY BUNTING,1,2011-04-18 09:46:00,4.42,15303.0,United Kingdom
536055,71053,WHITE METAL LANTERN,12,2011-06-25 13:37:00,3.52,15076.0,United Kingdom
536056,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-11-21 13:57:00,4.15,15596.0,United Kingdom
536057,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2011-09-21 14:14:00,4.48,15015.0,United Kingdom
536058,POST,POSTAGE,2,2011-11-08 09:43:00,18.2,15380.0,United Kingdom
536059,21212,PACK OF 72 RETRO SPOT CAKE CASES,1,2011-07-04 10:44:00,0.6,15130.0,United Kingdom
536060,21212,PACK OF 72 RETRO SPOT CAKE CASES,3,2011-04-08 12:30:00,0.51,15588.0,United Kingdom
536061,47566,PARTY BUNTING,1,2011-06-24 14:01:00,4.25,15395.0,United Kingdom
536062,21754,HOME BUILDING BLOCK WORD,3,2011-11-27 10:55:00,5.41,15157.0,United Kingdom
536063,85099B,JUMBO BAG RED RETROSPOT,4,2011-11-07 17:14:00,2.11,15233.0,United Kingdom
536064,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-01-24 12:54:00,4.23,15742.0,United Kingdom
536065,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-12-08 16:56:00,2.55,15757.0,United Kingdom
536066,20725,LUNCH BAG RED RETROSPOT,4,2011-05-07 11:21:00,1.56,15201.0,Germany
536067,22423,REGENCY CAKESTAND 3 TIER,2,2011-11-13 17:37:00,12.63,15494.0,United Kingdom
536068,71053,WHITE METAL LANTERN,1,2011-04-29 17:13:00,3.43,15431.0,United Kingdom
536069,71053,WHITE METAL LANTERN,12,2011-09-09 08:06:00,3.08,15111.0,United Kingdom
536070,20725,LUNCH BAG RED RETROSPOT,6,2011-11-27 16:20:00,1.81,15261.0,United Kingdom
536071,23203,JUMBO BAG DOILY PATTERNS,1,2011-06-21 13:45:00,2.12,15721.0,United Kingdom
536072,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-10-20 12:27:00,7.61,15430.0,United Kingdom
536073,21212,PACK OF 72 RETRO SPOT CAKE CASES,1,2011-03-29 14:51:00,0.58,15300.0,United Kingdom
536074,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-02-17 14:30:00,2.5,15737.0,United Kingdom
536075,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-11-09 09:00:00,2.99,15233.0,United Kingdom
536076,20725,LUNCH BAG RED RETROSPOT,2,2011-08-14 09:24:00,1.69,15669.0,United Kingdom
536077,22720,SET OF 3 CAKE TINS PANTRY DESIGN,24,2011-01-07 09:27:00,5.27,15075.0,United Kingdom
536078,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-12-04 11:50:00,4.06,15208.0,Spain
536079,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-06-19 16:47:00,2.78,15070.0,United Kingdom
536080,22423,REGENCY CAKESTAND 3 TIER,2,2011-10-09 09:07:00,12.85,15456.0,United Kingdom
536081,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-02-14 08:46:00,2.4,15047.0,United Kingdom
536082,22752,SET 7 BABUSHKA NESTING BOXES,-1,2011-01-04 11:11:00,7.22,15377.0,United Kingdom
536083,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2011-03-12 10:31:00,5.27,,United Kingdom
536084,71053,WHITE METAL LANTERN,1,2011-10-31 10:05:00,3.36,15370.0,United Kingdom
536085,85099B,JUMBO BAG RED RETROSPOT,1,2011-09-28 09:30:00,1.86,15461.0,United Kingdom
536086,21754,HOME BUILDING BLOCK WORD,1,2011-11-17 17:10:00,6.1,15750.0,Germany
536087,20725,LUNCH BAG RED RETROSPOT,2,2011-01-26 15:47:00,1.81,15598.0,United Kingdom
536088,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,2011-08-21 14:15:00,4.81,15035.0,United Kingdom
536089,21212,PACK OF 72 RETRO SPOT CAKE CASES,3,2011-01-20 13:01:00,0.55,15366.0,France
536090,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-05-12 09:38:00,7.25,15034.0,United Kingdom
536091,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2011-05-04 13:25:00,5.33,15651.0,United Kingdom
536092,21212,PACK OF 72 RETRO SPOT CAKE CASES,4,2011-05-03 14:26:00,0.59,15068.0,EIRE
536093,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-24 16:19:00,7.97,15326.0,United Kingdom
536094,71053,WHITE METAL LANTERN,4,2011-07-21 09:43:00,3.17,15077.0,United Kingdom
536095,20725,LUNCH BAG RED RETROSPOT,2,2011-09-18 15:40:00,1.58,15376.0,EIRE
536096,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-12-05 08:14:00,2.52,15754.0,EIRE
536097,23203,JUMBO BAG DOILY PATTERNS,2,2011-12-01 17:57:00,1.89,15132.0,United Kingdom
536098,POST,POSTAGE,6,2011-09-08 14:03:00,19.0,,United Kingdom
536099,21754,HOME BUILDING BLOCK WORD,2,2011-11-01 11:17:00,5.9,15484.0,United Kingdom
536100,47566,PARTY BUNTING,3,2011-11-09 16:19:00,4.39,15427.0,United Kingdom
536101,47566,PARTY BUNTING,3,2011-11-14 12:57:00,4.33,15511.0,United Kingdom
536102,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-10-18 12:27:00,2.56,15639.0,United Kingdom
536103,22423,REGENCY CAKESTAND 3 TIER,4,2011-03-27 14:37:00,13.95,15388.0,United Kingdom
536104,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-10-26 13:49:00,2.51,15623.0,United Kingdom
536105,71053,WHITE METAL LANTERN,1,2011-10-16 16:15:00,3.37,15092.0,United Kingdom
536106,71053,WHITE METAL LANTERN,2,2011-11-10 15:57:00,3.35,15263.0,United Kingdom
536107,23203,JUMBO BAG DOILY PATTERNS,4,2011-04-04 13:51:00,1.93,15338.0,United Kingdom
536108,85099B,JUMBO BAG RED RETROSPOT,3,2011-02-11 10:35:00,2.08,15752.0,Germany
536109,22720,SET OF 3 CAKE TINS PANTRY DESIGN,-2,2011-10-12 12:10:00,4.99,15468.0,United Kingdom
536110,21212,PACK OF 72 RETRO SPOT CAKE CASES,2,2011-09-07 13:14:00,0.51,15554.0,United Kingdom
536111,20725,LUNCH BAG RED RETROSPOT,12,2011-01-15 12:35:00,1.69,15768.0,United Kingdom
536112,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-01-07 16:44:00,2.36,15317.0,United Kingdom
536113,71053,WHITE METAL LANTERN,2,2011-11-19 08:27:00,3.22,15492.0,United Kingdom
536114,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-11-05 11:00:00,4.42,15715.0,United Kingdom
536115,21212,PACK OF 72 RETRO SPOT CAKE CASES,1,2011-04-22 16:20:00,0.51,15798.0,United Kingdom
536116,21754,HOME BUILDING BLOCK WORD,1,2011-05-18 10:11:00,6.34,15497.0,United Kingdom
536117,85099B,JUMBO BAG RED RETROSPOT,1,2011-08-16 13:51:00,1.89,15011.0,United Kingdom
536118,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-01-04 15:02:00,7.52,15146.0,Germany
536119,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2011-11-13 12:47:00,4.67,15207.0,United Kingdom
536120,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-01-24 17:03:00,2.76,15771.0,United Kingdom
536121,21754,HOME BUILDING BLOCK WORD,2,2011-05-31 09:51:00,6.03,15452.0,United Kingdom
536122,85099B,JUMBO BAG RED RETROSPOT,24,2011-10-28 16:54:00,1.98,15247.0,United Kingdom
536123,22423,REGENCY CAKESTAND 3 TIER,4,2011-11-11 11:40:00,13.27,15681.0,United Kingdom
536124,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-06-22 10:58:00,4.17,15649.0,United Kingdom
536125,22629,SPACEBOY LUNCH BOX,1,2011-11-21 08:00:00,1.97,15772.0,United Kingdom
536126,85099B,JUMBO BAG RED RETROSPOT,6,2011-12-02 15:26:00,2.02,15219.0,United Kingdom
536127,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-06-30 12:55:00,4.38,15597.0,United Kingdom
536128,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-09-05 10:27:00,4.02,15139.0,United Kingdom
536129,21212,PACK OF 72 RETRO SPOT CAKE CASES,1,2011-06-16 15:08:00,0.51,15359.0,United Kingdom
536130,23203,JUMBO BAG DOILY PATTERNS,1,2011-06-19 14:23:00,1.93,15065.0,United Kingdom
536131,47566,PARTY BUNTING,3,2011-11-17 17:35:00,5.08,15173.0,United Kingdom
536132,21212,PACK OF 72 RETRO SPOT CAKE CASES,4,2011-05-13 13:04:00,0.55,15482.0,United Kingdom
536133,85099B,JUMBO BAG RED RETROSPOT,1,2011-04-30 14:55:00,1.91,,United Kingdom
536134,47566,PARTY BUNTING,1,2011-11-29 16:52:00,4.26,15423.0,United Kingdom
536135,21754,HOME BUILDING BLOCK WORD,4,2011-12-01 16:05:00,5.75,15532.0,United Kingdom
536136,21754,HOME BUILDING BLOCK WORD,2,2011-06-12 12:34:00,5.74,15322.0,France
536137,47566,PARTY BUNTING,1,2011-10-17 15:22:00,4.64,15639.0,United Kingdom
536138,POST,POSTAGE,2,2011-10-04 13:22:00,17.14,15076.0,United Kingdom
536139,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-02-02 16:26:00,7.52,15622.0,United Kingdom
536140,21754,HOME BUILDING BLOCK WORD,-6,2011-10-29 12:52:00,5.57,15725.0,United Kingdom
536141,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2011-03-17 14:33:00,4.92,15362.0,United Kingdom
536142,21754,HOME BUILDING BLOCK WORD,10,2011-04-23 12:46:00,6.49,15577.0,United Kingdom
536143,21754,HOME BUILDING BLOCK WORD,1,2011-07-23 10:03:00,5.77,15139.0,United Kingdom
536144,21212,PACK OF 72 RETRO SPOT CAKE CASES,3,2011-12-01 12:49:00,0.59,15194.0,United Kingdom
536145,22629,SPACEBOY LUNCH BOX,4,2011-11-14 16:40:00,1.78,15272.0,United Kingdom
536146,22629,SPACEBOY LUNCH BOX,1,2011-12-01 11:46:00,1.76,15144.0,United Kingdom
536147,21754,HOME BUILDING BLOCK WORD,10,2011-08-20 09:56:00,5.8,15118.0,United Kingdom
536148,71053,WHITE METAL LANTERN,1,2011-09-10 14:43:00,3.25,15645.0,United Kingdom
536149,21754,HOME BUILDING BLOCK WORD,2,2011-11-27 10:55:00,5.45,15655.0,United Kingdom
536150,71053,WHITE METAL LANTERN,1,2011-12-04 10:26:00,3.36,15700.0,United Kingdom
536151,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2011-04-28 09:23:00,4.39,15486.0,United Kingdom
536152,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-11-20 14:41:00,2.87,15731.0,United Kingdom
536153,22629,SPACEBOY LUNCH BOX,6,2011-06-14 16:45:00,2.01,15483.0,United Kingdom
536154,23203,JUMBO BAG DOILY PATTERNS,2,2011-10-14 09:37:00,2.12,15037.0,United Kingdom
536155,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-11-16 17:09:00,3.9,15278.0,Belgium
536156,POST,POSTAGE,2,2011-08-01 14:23:00,18.13,15552.0,France
536157,20725,LUNCH BAG RED RETROSPOT,2,2011-11-13 17:54:00,1.58,15512.0,United Kingdom
536158,22629,SPACEBOY LUNCH BOX,4,2010-12-03 13:09:00,1.81,15163.0,United Kingdom
536159,47566,PARTY BUNTING,1,2011-10-25 17:13:00,4.72,15716.0,United Kingdom
536160,71053,WHITE METAL LANTERN,6,2011-09-29 09:37:00,3.24,15420.0,France
536161,22423,REGENCY CAKESTAND 3 TIER,3,2011-10-22 14:19:00,13.58,15133.0,United Kingdom
536162,21212,PACK OF 72 RETRO SPOT CAKE CASES,4,2011-01-31 10:20:00,0.59,15201.0,United Kingdom
536163,85099B,JUMBO BAG RED RETROSPOT,2,2011-06-26 16:54:00,2.07,15006.0,United Kingdom
536164,20725,LUNCH BAG RED RETROSPOT,4,2011-03-27 08:52:00,1.73,15582.0,United Kingdom
536165,85099B,JUMBO BAG RED RETROSPOT,1,2011-09-15 14:19:00,2.06,15514.0,United Kingdom
536166,21212,PACK OF 72 RETRO SPOT CAKE CASES,10,2011-10-19 13:35:00,0.5,15334.0,United Kingdom
536167,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-11-01 14:08:00,4.2,15101.0,France
536168,47566,PARTY BUNTING,2,2011-12-08 10:18:00,4.93,15657.0,France
536169,71053,WHITE METAL LANTERN,10,2011-06-03 13:14:00,3.62,15218.0,United Kingdom
536170,85099B,JUMBO BAG RED RETROSPOT,3,2011-04-30 11:30:00,1.92,15399.0,United Kingdom
536171,22752,SET 7 BABUSHKA NESTING BOXES,10,2011-04-10 08:47:00,6.96,15549.0,United Kingdom
536172,22752,SET 7 BABUSHKA NESTING BOXES,12,2011-10-31 14:15:00,8.07,15735.0,United Kingdom
536173,POST,POSTAGE,-24,2011-01-27 10:47:00,19.29,15516.0,United Kingdom
536174,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-06-09 08:26:00,2.77,15451.0,United Kingdom
536175,20725,LUNCH BAG RED RETROSPOT,2,2011-03-14 09:06:00,1.67,15431.0,Netherlands
536176,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-07-14 11:30:00,8.19,15499.0,United Kingdom
536177,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-06-27 16:05:00,4.36,15065.0,United Kingdom
536178,22629,SPACEBOY LUNCH BOX,4,2011-11-25 11:25:00,2.08,,United Kingdom
536179,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-11-20 16:56:00,2.58,15545.0,United Kingdom
536180,21754,HOME BUILDING BLOCK WORD,10,2011-06-24 17:03:00,5.41,,United Kingdom
536181,21212,PACK OF 72 RETRO SPOT CAKE CASES,2,2011-04-27 10:27:00,0.52,15152.0,United Kingdom
536182,85099B,JUMBO BAG RED RETROSPOT,1,2011-12-08 15:29:00,1.91,15740.0,United Kingdom
536183,47566,PARTY BUNTING,1,2011-10-24 10:36:00,4.33,15694.0,Germany
536184,21212,PACK OF 72 RETRO SPOT CAKE CASES,1,2011-08-27 10:27:00,0.52,15504.0,United Kingdom
536185,23203,JUMBO BAG DOILY PATTERNS,4,2010-12-21 11:38:00,2.01,15088.0,Netherlands
536186,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-10-27 12:31:00,4.32,15449.0,United Kingdom
536187,20725,LUNCH BAG RED RETROSPOT,1,2011-07-15 13:29:00,1.65,15297.0,EIRE
536188,20725,LUNCH BAG RED RETROSPOT,2,2011-10-31 09:03:00,1.49,15654.0,United Kingdom
536189,20725,LUNCH BAG RED RETROSPOT,2,2011-07-18 17:14:00,1.64,15526.0,United Kingdom
536190,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-10-15 12:46:00,7.89,15319.0,Germany
536191,22423,REGENCY CAKESTAND 3 TIER,4,2011-10-27 16:17:00,13.09,15624.0,United Kingdom
536192,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-11-22 11:55:00,7.11,15144.0,United Kingdom
536193,20725,LUNCH BAG RED RETROSPOT,1,2011-01-31 14:15:00,1.77,15279.0,United Kingdom
536194,21212,PACK OF 72 RETRO SPOT CAKE CASES,4,2011-06-25 08:24:00,0.57,15205.0,United Kingdom
536195,20725,LUNCH BAG RED RETROSPOT,2,2011-09-29 08:18:00,1.73,15117.0,United Kingdom
536196,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-10-14 08:54:00,2.72,15619.0,United Kingdom
536197,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-01-22 15:01:00,2.51,15551.0,United Kingdom
536198,20725,LUNCH BAG RED RETROSPOT,3,2011-02-21 14:22:00,1.77,15410.0,United Kingdom
536199,22629,SPACEBOY LUNCH BOX,1,2011-02-15 10:51:00,1.96,15576.0,United Kingdom
536200,21212,PACK OF 72 RETRO SPOT CAKE CASES,1,2011-08-23 09:18:00,0.53,15095.0,Germany
536201,84406B,CREAM CUPID HEARTS COAT HANGER,6,2010-12-11 17:05:00,2.74,15067.0,United Kingdom
536202,21212,PACK OF 72 RETRO SPOT CAKE CASES,3,2010-12-14 17:41:00,0.51,15423.0,United Kingdom
536203,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-01-05 16:06:00,7.61,15252.0,United Kingdom
536204,21212,PACK OF 72 RETRO SPOT CAKE CASES,2,2011-11-30 14:34:00,0.58,15130.0,United Kingdom
536205,22423,REGENCY CAKESTAND 3 TIER,12,2011-05-03 11:42:00,11.84,15487.0,United Kingdom
536206,POST,POSTAGE,10,2011-11-08 16:27:00,17.19,15111.0,United Kingdom
536207,22423,REGENCY CAKESTAND 3 TIER,6,2011-09-22 12:19:00,13.15,15632.0,United Kingdom
536208,85099B,JUMBO BAG RED RETROSPOT,4,2011-10-31 13:03:00,1.95,15266.0,United Kingdom
536209,23203,JUMBO BAG DOILY PATTERNS,2,2011-06-15 16:12:00,2.03,15797.0,United Kingdom
536210,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-04-09 10:29:00,2.74,15198.0,United Kingdom
536211,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-12-01 16:43:00,4.14,15012.0,Germany
536212,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-06-27 15:51:00,7.26,15329.0,France
536213,POST,POSTAGE,6,2011-11-25 13:21:00,18.42,15250.0,United Kingdom
536214,21212,PACK OF 72 RETRO SPOT CAKE CASES,10,2011-07-09 16:04:00,0.54,15107.0,United Kingdom
536215,23203,JUMBO BAG DOILY PATTERNS,3,2011-11-21 14:09:00,2.25,15596.0,United Kingdom
536216,47566,PARTY BUNTING,1,2011-02-25 09:52:00,4.78,15522.0,United Kingdom
536217,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-06-03 15:18:00,8.35,15734.0,United Kingdom
536218,23203,JUMBO BAG DOILY PATTERNS,10,2011-06-17 09:36:00,2.01,15543.0,United Kingdom
536219,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-19 11:32:00,2.79,15384.0,United Kingdom
536220,22423,REGENCY CAKESTAND 3 TIER,3,2011-07-05 14:30:00,12.08,15542.0,United Kingdom
536221,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-10-12 09:12:00,2.87,15551.0,United Kingdom
536222,47566,PARTY BUNTING,2,2011-06-20 15:53:00,4.78,15646.0,United Kingdom
536223,21754,HOME BUILDING BLOCK WORD,3,2011-04-15 17:15:00,6.27,15223.0,United Kingdom
536224,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-10-08 15:41:00,4.13,15555.0,United Kingdom
536225,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2011-09-01 12:00:00,4.58,15139.0,United Kingdom
536226,85099B,JUMBO BAG RED RETROSPOT,3,2011-09-20 10:39:00,2.02,15758.0,United Kingdom
536227,22629,SPACEBOY LUNCH BOX,6,2010-12-17 17:32:00,1.95,15355.0,United Kingdom
536228,POST,POSTAGE,4,2011-10-21 14:41:00,17.23,15617.0,United Kingdom
536229,85099B,JUMBO BAG RED RETROSPOT,2,2011-05-09 09:04:00,1.98,15199.0,United Kingdom
536230,22629,SPACEBOY LUNCH BOX,2,2011-08-26 12:08:00,1.92,15199.0,United Kingdom
536231,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-12-01 15:48:00,2.68,15245.0,United Kingdom
536232,23203,JUMBO BAG DOILY PATTERNS,6,2011-01-19 14:01:00,2.1,15090.0,United Kingdom
536233,22423,REGENCY CAKESTAND 3 TIER,2,2011-03-13 15:34:00,13.5,15099.0,United Kingdom
536234,47566,PARTY BUNTING,12,2011-11-08 10:02:00,4.51,15431.0,United Kingdom
536235,22629,SPACEBOY LUNCH BOX,1,2011-10-05 11:42:00,2.03,15721.0,United Kingdom
536236,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-2,2011-08-07 15:24:00,4.19,15412.0,United Kingdom
536237,21754,HOME BUILDING BLOCK WORD,1,2011-11-01 12:01:00,6.23,15018.0,United Kingdom
536238,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2011-11-20 15:09:00,4.34,15583.0,Germany
536239,POST,POSTAGE,4,2011-05-27 15:34:00,17.59,15369.0,United Kingdom
536240,23203,JUMBO BAG DOILY PATTERNS,2,2011-10-10 15:18:00,1.95,15517.0,United Kingdom
536241,22629,SPACEBOY LUNCH BOX,1,2011-07-04 14:41:00,2.02,15351.0,United Kingdom
536242,21754,HOME BUILDING BLOCK WORD,2,2011-10-13 17:16:00,6.47,15193.0,United Kingdom
536243,21212,PACK OF 72 RETRO SPOT CAKE CASES,4,2010-12-19 14:58:00,0.51,15108.0,United Kingdom
536244,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-04 10:14:00,2.77,15780.0,United Kingdom
536245,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2011-11-16 11:50:00,4.68,15527.0,United Kingdom
536246,21212,PACK OF 72 RETRO SPOT CAKE CASES,10,2011-03-05 17:02:00,0.52,15150.0,United Kingdom
536247,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-06-15 08:41:00,2.76,15117.0,United Kingdom
536248,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-10-11 17:39:00,2.9,15161.0,United Kingdom
